Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis	montbretiana		746018	GCA_001484125.1	PRJNA258048		04/01/16	1	199120032	21621	64426676	50	CLC NGS Cell v. 3.5	Illumina	short	97,4	96,5	0,9	1,7	0,9	16	2	Max-Planck-Institute for Plant Breeding Research	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis	nemorensis		586526	GCA_902206195.3	PRJEB33482		15/08/19	1	192127358	2313	155127461	120			long	97,9	96,4	1,5	0,7	1,4			UNIVERSITY OF COLOGNE	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis	nordmanniana		571359	GCA_001484925.1	PRJNA258061		04/01/16	1	342306570	4787	113336191	50	CLC NGS Cell v. 8.5	Illumina	short	86,9	47,6	39,3	7,6	5,5			Max-Planck-Institute for Plant Breeding Research	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Aurinia	saxatilis	basket-of-gold	169069	GCA_900406295.1	PRJEB26555		15/06/19	1	316420398	8380	102187140	33			short	92,9	91,3	1,6	3,9	3,2			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Barbarea	vulgaris	winter cress	50459	GCA_001920985.1	PRJNA321292		23/12/16	1	167352128	7939	49230355	66	Celera Assembler v. JANUARY-2015	"Illumina; PacBio"	long	94,3	92,8	1,5	3	2,7			Aarhus University	Denmark	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Biscutella	auriculata		379493	GCA_900406285.1	PRJEB26555		15/06/19	1	384769842	3707	124709536	44			short	72,5	68,3	4,2	18	9,5	16	2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Biscutella	laevigata		1594205	GCA_900406315.1	PRJEB26555		15/06/19	1	333609385	4086	107956425	59			short	89,5	82,1	7,4	6,6	3,9	36	4	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Boechera	puberula	silver rockcress	115924	GCA_900406335.1	PRJEB26555		14/06/19	1	182592028	1882	59316928	25			short	67,9	66,9	1	20,5	11,6			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Boechera	retrofracta		115934	GCA_015832515.1	PRJNA418376		08/12/20	1	216212429	560024	64031868	350	"DISCOVAR v. AUG 2017; SOAPdenovo v. 2"	"Illumina MiSeq; 454; Sanger"	short	99,3	97,5	1,8	0,4	0,3			Saint-Petersburg State University	Russia	Asia	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Boechera	stricta		72658	GCA_002079875.1	PRJNA319286		05/04/17	1	188794588	34847	53116618	400	Meraculous v. 2.0.3	"Illumina; 454"	short	96,2	95,8	0,4	1,8	2	14		Joint Genome Institute	USA	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	cretica		69181	GCA_003260675.2	PRJNA470925		24/03/20	4	288739113	25739	251605306				short	62,1	56,5	5,6	8,6	29,3			University of Exeter	United Kingdom	Europe	Wild relative
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	juncea	brown mustard	3707	GCA_015484525.1	PRJNA550308	https://doi.org/10.1038/ng.3657	15/11/20	2	884897500	5627203	234945105	110	Canu v. 1.4	PacBio RSII	long	98,7	8,1	90,6	0,2	1,1	36	4	CGMCP	India	Asia	Domesticated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	napus	rape	3708	GCA_000686985.2	PRJNA237736		15/09/17	4	975804240	55410	250104385	200	"SOAPdenovo v. 2; Celera v. 8.3rc2"	Illumina HiSeq 2000	short	97,4	16,5	80,9	0,4	2,2	38	4	BGI-Shenzhen	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	nigra	black mustard	3710	GCA_016432835.1	PRJNA642332	https://doi.org/10.1186/s12864-020-07271-w	29/12/20	2	534239455	1342348	137608387	100	Canu v. 1.4	Oxford Nanopore MinION	long	98,4	83,9	14,5	0,5	1,1	16	2	CGMCP	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	oleracea	wild cabbage	3712	GCA_900416815.2	PRJEB26621	https://doi.org/10.1038/s41477-018-0289-4	11/07/18	5	554977060	9813309	153542086	38			long	98,7	85,7	13	0,3	1			GSC	France	Europe	Domesticated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	rapa	field mustard	3711	GCA_900412535.2	PRJEB26620	https://doi.org/10.1038/s41477-018-0289-4	11/07/18	6	401926910	5519976	101098294	79			long	99	84,9	14,1	0,2	0,8	20	2	GSC	France	Europe	Domesticated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Camelina	sativa	false flax	90675	GCA_000633955.1	PRJNA231618	10.1038/ncomms4706 	24/04/14	3	641356059	32728	170216485	100	SOAPdenovo v. 2.01	"Illumina HiSeq; 454"	short	99,2	3,8	95,4	0,2	0,6			"Agriculture &amp; AgriFood Canada"	Canada	North America	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	bursa-pastoris	shepherd's purse	3719	GCA_001974645.1	PRJNA352734		29/01/17	1	268430517	12804	79893793	40	"Newbler v. 2.9; Platanus v. 1.0.0"	Illumina MiSeq	short	95,6	9,9	85,7	2	2,4	32	4	Lomonosov Moscow State University	Russia	Asia	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	grandiflora					https://genomevolution.org/coge/OrganismView.pl	09/06/15		105346052																	Wild 
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	orientalis					http://www.pnas.org/content/112/9/2806	02/11/18		111001498																	Wild 
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	rubella		81985	GCA_000375325.1	PRJNA13878		23/04/13	2	133063876	134357	121852309	22,35	ARACHNE v. 20071016_modified	"ABI 3739; Roche 454FLX"	short	98,9	97,7	1,2	0,4	0,7	16	2	DOE Joint Genome Institute	USA	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Cardamine	hirsuta					Nature plants: doi:10.1038/nplants.2016.167	31/10/16	1	198000000	29458	225000000		SOAPdenovo	Illumina HiSeq	short 								MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany 	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Cardamine	resedifolia		352370	GCA_014578085.1	PRJNA541873		15/09/20	1	192816846	7451	121200836	146	Velvet v. 1.2.08	Illumina HiSeq	short	98,4	97,4	1	0,7	0,9			ETH Zurich	Switzerland	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Cochlearia	officinalis	scurvy-grass	270110	GCA_900406305.1	PRJEB26555		14/06/19	1	164468807	1506	53263967	52			short	45,3	44,5	0,8	31,2	23,5	32	4	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Conringia	planisiliqua		311912	GCA_900108845.1	PRJEB16743		31/12/16	1	184155600	3106333	53669821	57			long	98,9	98	0,9	0,3	0,8	16	2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Crambe	hispanica		70124	GCA_015476445.1	PRJNA631330		15/11/20	1	488321907	303	98437053	65	Canu v. 1.6		long	94,7	85,4	9,3	3,1	2,2			North Carolina State University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Crucihimalaya	himalaica		59289	GCA_004349715.1	PRJNA521295		14/03/19	1	234721433	234238	72707352	224,57	AllPaths v. 1.0	Illumina HiSeq	short	99,2	97,1	2,1	0,2	0,6	16		School of Agriculture, Yunnan University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Diplotaxis	tenuifolia		264416	GCA_014822095.1	PRJNA624903		30/09/20	1	424255505	4686	136997265	60	CLC Genomics Workbench v. 12.0.3	Illumina HiSeq	short	82,4	72,9	9,5	12,4	5,2			Remirucula	Portugal	Europe	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Draba	nivalis					https://doi.org/10.1111/1755-0998.13280	15/10/20	1	301640000		278480000		"DISCOVAR de novo;  HiRise; SSPACE-LongRead version 1.1"	Illumina and Oxford nanopore	long								University of Oslo	Norway	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Eruca	vesicaria	arugula	29727	GCA_902460325.1	PRJEB34051		22/02/20	1	1212793	89251	351794	117			short	1,2	1,2	0	0,1	98,7			University of Reading	United Kingdom	Europe	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Erucastrum	elatum		1078598	GCA_900406325.1	PRJEB26555		15/06/19	1	362114105	7206	116547701	50			short	90,4	74,8	15,6	7,1	2,5			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Erysimum	cheiranthoides		330168	GCA_011420285.1	PRJNA563696		19/03/20	1	177179441	1657946	48887450	190	FALCON v. 2017-06-07	"PacBio; Illumina MiSeq; Hi-C"	long	98,7	95,5	3,2	0,4	0,9	46		Boyce Thompson Institute	USA	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Erysimum	cheiri	wallflower	71232	GCA_900406345.1	PRJEB26555		14/06/19	1	147320935	7474	47523289	28			short	91,6	90,1	1,5	5,3	3,1			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Erysimum	pusillum		1492262	GCA_900406355.1	PRJEB26555		14/06/19	1	184063902	4155	58781946	72			short	73,3	62,8	10,5	1,57E+01	11			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Euclidium	syriacum		345537	GCA_900116095.1	PRJEB16743		31/12/16	1	229211023	4197252	71403018	47			long	98,7	97,4	1,3	0,4	0,9	14	2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Eutrema	heterophyllum		347889	GCA_002933915.1	PRJNA419026		20/02/18	1	348971089	78079	108048203	249	Platanus v. 1.2.4	Illumina HiSeq	short	98,9	95,5	3,4	0,4	0,7			Sichuan University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Eutrema	salsugineum	saltwater cress	72664	GCA_000478725.1	PRJNA73205		05/11/13	3	243110105	222588	196878562	7,78	ARACHNE v. 20071016_modfied	ABI 3730	short	98,9	97,5	1,4	0,3	0,8			Joint Genome Institute	USA	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Eutrema	yunnanense		347893	GCA_002933935.1	PRJNA419026		20/02/18	1	415364017	35978	121162431	230	Platanus v. 1.2.4	Illumina HiSeq	short	98,5	95,2	3,3	0,8	0,7			Sichuan University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Heliophila	coronopifolia	showy sunflax	263653	GCA_900406365.1	PRJEB26555		15/06/19	1	293602312	1708	96009959	23			short	44,9	42,5	2,4	27,1	28	20		MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Iberis	amara	bitter candytuft	190884	GCA_900406375.1	PRJEB26555		15/06/19	1	361245353	2827	117438778	20			short	75	72,5	2,5	14,9	10,1			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Iberis	pinnata		1533145	GCA_900406425.1	PRJEB26555		19/06/19	1	686283031	10296	222812661	20			short	91,7	87,8	3,9	4,7	3,6			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Isatis	indigotica					https://doi.org/10.1038/s41438-020-0240-5	01/02/20	1	293880000	1180000	305000000		Canu v.1.6	PacBio and Illumina	long 									China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Isatis	lusitanica		651643	GCA_900406415.1	PRJEB26555		15/06/19	1	203919019	4302	65887401	57			short	75,2	68,8	6,4	15,1	9,7			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Isatis	tinctoria	woad	161756	GCA_010577795.1	PRJNA549758		14/02/20	3	293865481	1176212	82559158	142,71	"Canu v. 1.6; wtdbg v. 1; Quickmerge v. 0.2"	PacBio Sequel	long	99	91,5	7,5	0,4	0,6	28		Isatis indigotica	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Kernera	saxatilis		169074	GCA_900406395.1	PRJEB26555		14/06/19	1	143969369	28896	46421662	29			short	98,3	96,9	1,4	0,7	1	16	2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Leavenworthia	alabamica		310722	GCA_000411055.1	PRJNA202983		14/06/13	1	173431618	15066	45437744	60	"Ray v. 1.7; SoapDeNovo v. 1.05"	Illumina	short	97,5	84	13,5	1,2	1,3			McGill University	Canada	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium	africanum		153324	GCA_900406405.1	PRJEB26555		15/06/19	1	225262187	39322	72473152	32			short	96,4	95	1,4	1,9	1,7			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium	aucheri		153329	GCA_900406435.1	PRJEB26555		15/06/19	1	332062533	26546	106368886	23			short	98,5	97,5	1	0,9	0,6			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium	campestre	pepperwort	65351	GCA_009757365.1	PRJNA587432		16/12/19	1	119564140	6435	37138603	22,5	TASSEL v. 3.0.165	Illumina MiSeq	short	33,8	31,7	2,1	9,1	57,1			Swedish University of Agricultural Sciences	Sweden	Europe	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium	meyenii					https://doi.org/10.1016/j.molp.2016.04.016	06/07/16		743000000	81780	750000000	482		Illumina HiSeq	short								Yunnan Agricultural University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Lobularia	maritima					https://doi.org/10.1038/s41438-020-00422-w	01/12/20		197688650		264000000		Platanus v1.2.4	Illumina	short								Sichuan University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Macropodium	nivale		391730	GCA_900406455.1	PRJEB26555		15/06/19	1	300734812	4859	97005777	44			short	93,5	70,6	22,9	3,1	3,4			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Megacarpaea	delavayi					https://doi.org/10.3389/fgene.2020.00812	03/08/20		883810000	65480	899000000	150	Platanus v1.2.4	Illumina	short								Sichuan University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	erraticum		1685480	GCA_902728155.2	PRJEB35998		13/02/20	1	170422779	323264	176834619	120			long	98,4	90,7	7,7	0,7	0,9			Senckenberg Biodiversity and Climate Research Center, Frankfurt am Main	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Nasturtium	officinale	watercress	65948	GCA_900406445.1	PRJEB26555		15/06/19	1	216122097	83235	68898949	59			short	98,3	49	49,3	0,9	0,8	32	4	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Noccaea	caerulescens		107243	GCA_900406465.1	PRJEB26555		14/06/19	1	140791915	19008	45460672	31			short	97,1	95,9	1,2	1,7	1,2			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Noccaea	goesingensis		60913	GCA_900406475.1	PRJEB26555		14/06/19	1	150323284	829	49680054	20			short	12	11,7	0,3	27,9	60,1			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Odontarrhena	argentea		226021	GCA_900406245.1	PRJEB26555		14/06/19	1	183186458	10170	58789140	70			short	91,5	86,7	4,8	4,8	3,7			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Pachycladon	cheesemanii																									Wild 
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Physaria	acutifolia		98029	GCA_900406485.1	PRJEB26555		15/06/19	1	199441649	833	66385392	20			short	46,9	45,7	1,2	25,5	27,6			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Physaria	fendleri	Fendler's bladderpod	63442	GCA_900406525.1	PRJEB26555		15/06/19	1	331341781	5159	106991444	58			short	79,6	59,5	20,1	12,1	8,3			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Physaria	ovalifolia		1244054	GCA_900406505.1	PRJEB26555		15/06/19	1	290267063	938	95838504	20			short	27,1	26,1	1	31,7	41,2	12		MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Pseudoturritis	turrita		81982	GCA_900406555.1	PRJEB26555		15/06/19	2	321562673	748954	100268941	70			long	98,6	96,6	2	0,5	0,9	16	2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Raparia	bulbosa		165365	GCA_900406535.1	PRJEB26555		14/06/19	1	152783568	28858	49177451	47			short	97,8	96,3	1,5	1,4	0,8			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Raphanus	raphanistrum		109997	GCA_000769845.1	PRJNA209513		28/10/14	1	253833977	10186	82398341	47	"ABySS v. 1.2.5; Newbler v. 2.5.3; Celera Assembler v. 6.1; Minimus2/AMOS v. 3.1.0"	"Illumina GAII; 454"	short	95,9	86,7	9,2	2,4	1,7			Michigan State University	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Raphanus	sativus	radish	3726	GCA_902824885.1	PRJEB37015		13/03/20	6	440317669	8847209	113788740	258			long	99,1	87	12,1	0,2	0,7	18	2	Hubei Academy of Agricultural Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Schrenkiella	parvula		98039	GCA_000218505.1	PRJNA63667		21/06/11	1	137073209	5288824	40305089	6	"Newbler v. 2.5; ABySS v. 1.2.1; minimus2"	"454 GS FLX Titanium; Illumina GA II"	short	98,3	81	17,3	0,6	1,1			University of Illinois	USA	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Sinapis	alba	white mustard	3728	GCA_012274485.2	PRJNA214277		05/10/20	1	449668332	98426	338333112	100	discovarDeNovo v. 51464	Illumina NovaSeq 6000	short	98,7	75,1	23,6	0,7	0,6	24	3	DOE Joint Genome Institute	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Sisymbrium	altissimum	tall rocket	71365	GCA_900406495.1	PRJEB26555		14/06/19	1	178647359	43675	57194936	38			short	99,1	97,9	1,2	0,4	0,5		2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Sisymbrium	irio		3730	GCA_000411075.1	PRJNA202979		14/06/13	1	245550082	11849	61646444	60	"Ray v. 1.7; SoapDeNovo v. 1.05"	Illumina	short	97,6	94,7	2,9	1,3	1,1	28	4	McGill University	Canada	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Thellungiella	parvula					 https://doi.org/10.1038/ng.889	04/03/13	1	137090000	5200000	140000000		AbySS and minimus 	ROCHE-454 and Illumina	short 								University of Illinois at Urbana-Champaign	USA	North America 	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Thlaspi	arvense		13288	GCA_000956625.1	PRJNA222676		19/03/15	1	343012389	28155	103031859	80	CLC NGS Cell v. 6.0.3	"Illumina HiSeq; Illumina MiSeq; PacBio"	long	98,9	97,5	1,4	0,5	0,6	14	2	University of Minnesota	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Turritis	glabra	tower rockcress	63678	GCA_900406565.1	PRJEB26555		14/06/19	2	171129789	5712653	53481270	80			long	99,2	98	1,2	0,3	0,5	12	2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Caricaceae	Carica	papaya	papaya	3649	GCA_000150535.1	PRJNA20267	doi: 10.1038/nature06856.	06/05/08	2	369781828	10609	81137892				short	73,7	73,2	0,5	13,2	13,1	18	2	The Papaya Genome Sequencing Consortium	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Brassicales	Cleomaceae	Tarenaya	hassleriana	spider flower	28532	GCA_000463585.1	PRJNA175230		05/09/13	2	249929577	22358	63579809	139	SOAPdenovo v. 2.2	Illumina Hisiq	short	98,6	91,8	6,8	0,6	0,8			Beijing Genomics Institution-shenzhen	China	Asia	Wild
Tracheophyta	Magnoliopsida	Brassicales	Moringaceae	Moringa	oleifera	horseradish tree	3735	GCA_009801145.1	PRJNA268707		27/12/19	1	253870216	2043	136457232	21	SOAPdenovo v. 2.04	Illumina HiSeq	short	79,9	79,4	0,5	11,7	8,4			National Centre for Biological Sciences, TIFR	India	Asia	Cultivated
Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	hybridus					https://doi.org/10.1093/gbe/evaa177	24/08/20		403000000	2260000	503800000		Canu version 1.8	PacBio and Illumina	long 								University of Illinois	USA	North America	Feral 
Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	hypochondriacus	grain amaranth	28502	GCA_000753965.2	PRJNA214803		23/09/20	1	417460386	82813	108781394	25	"Flye v. 2.7.1; Canu v. 2.0"	PacBio RSII	long	80,8	72,7	8,1	8,1	11,1	32	2	Institute of Bioinformatics and Applied Biotechnology	India	Asia	Cultivated
Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	palmeri					https://doi.org/10.1093/gbe/evaa177			408100000	2540000	421800000		Canu version 1.8	PacBio and Illumina	long 								University of Illinois	USA	North America	Feral 
Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	tuberculatus		277990	GCA_000180655.1	PRJNA38543		22/06/09	1	4347977	241	1550999	N/A			short	0	0	0	0	100			University of Illinois	USA	North America	Feral
